Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1744602784.3358998,7280.0,-4271.0,-6329.0,-13122.0,-13003.0,-17710.0,-8534.0,1744602784.1969187
1744602784.3358998,7280.0,-5331.988161875045,-6035.2801133792245,-12381.706000047638,-9900.95834028059,-11052.349236595765,-5570.825905723746,1744602784.2069187
1744602784.3358998,7280.0,-5549.586499297335,-7662.892075363838,-13815.261748803086,-5255.862634876021,-13020.230855346212,7512.027987518757,1744602784.2169187
1744602784.3358998,7280.0,-4732.343805826168,-6907.175166138675,-13949.622704427982,-9247.532501250505,-8076.182883548103,-634.5762332372626,1744602784.2269187
1744602784.3358998,7280.0,-4209.989376652455,-5854.0206750351335,-14244.871924350333,-7610.307314865541,-8638.793392563657,-3948.4120477336064,1744602784.2369187
1744602784.3358998,7280.0,-4735.475168520592,-5940.566491198819,-13898.662577710025,-3983.330824381297,-9820.35485791868,-4240.661362932616,1744602784.2469187
1744602784.3358998,7280.0,-4815.554105233071,-6153.776647690732,-13675.274801705453,-2406.9636281351977,-7792.690446132959,-3770.709668199033,1744602784.2569187
1744602784.3358998,7280.0,-4878.579829931163,-6308.966248243337,-13543.873686968534,-2970.1584450849155,-3533.5182097515662,-3938.852869018412,1744602784.2669187
1744602784.3358998,7280.0,-4883.96188933616,-6674.202677274135,-13987.585284519924,-6491.979539337351,-953.5965033465926,-4587.030369435248,1744602784.2769186
1744602784.3358998,7280.0,-5144.744801467261,-6745.408331943882,-14105.013886573137,-11179.689398089702,148.63620989448106,-6662.095610127909,1744602784.2869186
1744602785.6746948,7478.094466807994,-5266.847152418836,-6009.088583474263,-13919.791201200485,-14874.842912607484,1303.9764904842436,-6329.372793749852,1744602784.2969186
1744602785.687573,7480.0,-4911.772955720173,-7286.396398542267,-14558.219160136247,-19473.66424505157,2731.9920205797584,-5883.684753352548,1744602784.3069186
1744602785.687573,7480.0,-3834.4164542791127,-7884.242979301146,-15641.549246123432,-28405.26127241979,247.90312745635134,-5388.670866779411,1744602784.3169186
1744602785.687573,7480.0,-2916.3579305909534,-6556.733439725603,-15498.944596622443,-32714.248171879095,-8413.734273396374,-5157.824000190553,1744602784.3269186
1744602785.687573,7480.0,-3858.1147845556534,-5802.964033061001,-14757.004049258034,-32767.0,-18242.58680894648,-11192.380296786794,1744602784.3369186
1744602785.687573,7480.0,-5183.963723411857,-4963.0334421075195,-13710.034656884929,-32764.04287449682,-21480.95319534097,-14865.921777862468,1744602784.3469186
