Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1775067141.866654,3364430.0,-1818,251,-16267,-44,-70,-11,1775067140.3311417
1775067141.866654,3364430.0,-1760,159,-16289,86,91,-16,1775067140.3411417
1775067141.866654,3364430.0,-1877,181,-16318,-19,-65,33,1775067140.351142
1775067141.866654,3364430.0,-1732,112,-16264,56,88,-2,1775067140.361142
1775067141.866654,3364430.0,-1790,214,-16255,-34,-54,16,1775067140.371142
1775067141.866654,3364430.0,-1705,126,-16236,66,61,-8,1775067140.3811421
1775067141.866654,3364430.0,-1873,227,-16219,-31,-72,-12,1775067140.3911421
1775067141.866654,3364430.0,-1781,177,-16253,17,36,-11,1775067140.4011421
1775067141.866654,3364430.0,-1891,254,-16328,-1,-6,23,1775067140.4111423
1775067141.866654,3364430.0,-1751,141,-16274,35,42,-20,1775067140.4211423
1775067141.866654,3364430.0,-1832,201,-16249,11,-11,12,1775067140.4311426
1775067141.866654,3364430.0,-1728,102,-16254,27,5,-5,1775067140.4411426
1775067141.866654,3364430.0,-1796,120,-16254,23,3,11,1775067140.4511425
1775067141.866654,3364430.0,-1762,111,-16268,-9,-9,0,1775067140.4611428
1775067141.866654,3364430.0,-1851,174,-16294,12,-10,7,1775067140.4711428
1775067141.866654,3364430.0,-1808,178,-16269,-4,-13,0,1775067140.4811428
1775067141.866654,3364430.0,-1848,264,-16253,36,10,-11,1775067140.491143
1775067141.866654,3364430.0,-1773,246,-16263,8,-10,-15,1775067140.501143
1775067141.866654,3364430.0,-1772,252,-16263,34,24,-4,1775067140.511143
1775067141.867293,3364630.0,-1759,185,-16274,-7,2,-11,1775067140.5211432
1775067141.867293,3364630.0,-1766,174,-16295,33,27,-16,1775067140.5311432
1775067141.867293,3364630.0,-1763,99,-16290,10,8,4,1775067140.5411432
1775067141.867293,3364630.0,-1763,93,-16240,27,31,5,1775067140.5511434
1775067141.867293,3364630.0,-1756,131,-16266,7,-20,12,1775067140.5611434
1775067141.867293,3364630.0,-1775,173,-16269,1,12,-11,1775067140.5711434
1775067141.867293,3364630.0,-1817,188,-16279,-25,-25,-1,1775067140.5811436
1775067141.867293,3364630.0,-1833,228,-16268,6,0,4,1775067140.5911436
1775067141.867293,3364630.0,-1836,219,-16253,0,-10,-6,1775067140.6011438
1775067141.867293,3364630.0,-1872,221,-16260,-3,15,16,1775067140.6111438
1775067141.867293,3364630.0,-1834,194,-16257,19,0,21,1775067140.6211438
1775067141.867293,3364630.0,-1814,180,-16270,15,30,-2,1775067140.631144
1775067141.867293,3364630.0,-1793,179,-16254,-7,6,-8,1775067140.641144
1775067141.867293,3364630.0,-1770,169,-16231,28,29,-26,1775067140.651144
1775067141.867293,3364630.0,-1780,181,-16267,5,-5,-7,1775067140.6611443
1775067141.867293,3364630.0,-1751,198,-16274,28,3,-18,1775067140.6711442
1775067141.867293,3364630.0,-1711,177,-16270,14,-2,18,1775067140.6811442
1775067141.867293,3364630.0,-1740,176,-16293,7,11,-31,1775067140.6911445
1775067141.867293,3364630.0,-1746,202,-16287,30,34,-18,1775067140.7011445
1775067141.867293,3364630.0,-1745,175,-16211,-9,-17,3,1775067140.7111444
1775067141.868684,3364830.0,-1823,158,-16222,8,9,-17,1775067140.7211447
1775067141.868684,3364830.0,-1829,131,-16272,2,-10,2,1775067140.7311447
1775067141.868684,3364830.0,-1872,162,-16251,16,18,-9,1775067140.741145
1775067141.868684,3364830.0,-1871,168,-16279,3,-21,28,1775067140.751145
1775067141.868684,3364830.0,-1831,178,-16277,23,18,14,1775067140.7611449
1775067141.868684,3364830.0,-1815,221,-16234,-3,-12,3,1775067140.771145
1775067141.868684,3364830.0,-1770,224,-16269,-2,30,-10,1775067140.781145
1775067141.868684,3364830.0,-1782,252,-16289,-22,-25,2,1775067140.791145
1775067141.868684,3364830.0,-1723,206,-16268,29,33,-6,1775067140.8011453
1775067141.868684,3364830.0,-1729,169,-16253,11,0,6,1775067140.8111453
1775067141.868684,3364830.0,-1591,120,-16309,29,53,-2,1775067140.8211453
1775067141.868684,3364830.0,-1663,179,-16319,-9,-7,7,1775067140.8311455
1775067141.868684,3364830.0,-1713,173,-16332,15,8,-14,1775067140.8411455
1775067141.868684,3364830.0,-1870,231,-16258,-14,-29,-14,1775067140.8511455
1775067141.868684,3364830.0,-1924,181,-16145,-18,-20,-10,1775067140.8611457
1775067141.868684,3364830.0,-1282,-193,-16197,-768,-1390,65,1775067140.8711457
1775067141.868684,3364830.0,-1373,-2341,-16498,399,73,3194,1775067140.8811457
1775067141.868684,3364830.0,-2260,648,-16333,-517,-639,-1440,1775067140.891146
1775067141.868684,3364830.0,-2762,1494,-16156,149,542,-1431,1775067140.901146
1775067141.868684,3364830.0,-2534,1076,-16143,19,175,-580,1775067140.9111462
1775067141.870162,3365030.0,-1563,53,-16201,345,663,21,1775067140.9211462
1775067141.870162,3365030.0,-1663,177,-16202,-89,-178,36,1775067140.9311461
1775067141.870162,3365030.0,-1830,26,-16353,385,207,1658,1775067140.9411464
1775067141.870162,3365030.0,-1567,191,-16334,434,149,3123,1775067140.9511464
1775067141.870162,3365030.0,-1689,298,-16183,667,319,4101,1775067140.9611464
1775067141.870162,3365030.0,-1761,484,-16215,526,174,3805,1775067140.9711466
1775067141.870162,3365030.0,-1964,309,-16274,251,-3,1854,1775067140.9811466
1775067141.870162,3365030.0,-1851,138,-16239,218,-17,1979,1775067140.9911466
1775067141.870162,3365030.0,-1825,-57,-16298,226,50,1348,1775067141.0011468
1775067141.870162,3365030.0,-1753,0,-16294,-33,-68,-30,1775067141.0111468
1775067141.870162,3365030.0,-1853,142,-16271,-11,-48,14,1775067141.0211468
1775067141.870162,3365030.0,-1785,192,-16245,-114,-172,-10,1775067141.031147
1775067141.870162,3365030.0,-1817,268,-16282,47,31,-17,1775067141.041147
1775067141.870162,3365030.0,-1808,277,-16241,35,53,-15,1775067141.051147
1775067141.870162,3365030.0,-1767,232,-16287,33,40,8,1775067141.0611472
1775067141.870162,3365030.0,-1820,269,-16287,51,76,15,1775067141.0711472
1775067141.870162,3365030.0,-1701,164,-16238,43,23,-20,1775067141.0811474
1775067141.870162,3365030.0,-1734,185,-16253,46,37,-1,1775067141.0911474
1775067141.870162,3365030.0,-1749,134,-16244,-12,0,1,1775067141.1011474
1775067141.870162,3365030.0,-1764,106,-16265,0,-43,-6,1775067141.1111476
1775067141.873743,3365230.0,-1844,159,-16296,-34,-70,8,1775067141.1211476
1775067141.873743,3365230.0,-1855,177,-16288,78,85,-13,1775067141.1311476
1775067141.873743,3365230.0,-1829,202,-16278,74,101,-16,1775067141.1411479
1775067141.873743,3365230.0,-1802,206,-16221,-44,-51,-4,1775067141.1511478
1775067141.873743,3365230.0,-1855,275,-16234,55,54,4,1775067141.1611478
1775067141.873743,3365230.0,-1811,180,-16250,-3,-28,-1,1775067141.171148
1775067141.873743,3365230.0,-1804,196,-16257,51,51,-15,1775067141.181148
1775067141.873743,3365230.0,-1786,151,-16306,-8,-5,7,1775067141.191148
1775067141.873743,3365230.0,-1770,150,-16274,34,47,10,1775067141.2011483
1775067141.873743,3365230.0,-1716,149,-16182,-14,-43,-13,1775067141.2111483
1775067141.873743,3365230.0,-1735,175,-16264,31,23,26,1775067141.2211485
1775067141.873743,3365230.0,-1770,170,-16298,-13,-36,37,1775067141.2311485
1775067141.873743,3365230.0,-1785,209,-16294,8,26,3,1775067141.2411485
1775067141.873743,3365230.0,-1807,220,-16294,-10,-20,0,1775067141.2511487
1775067141.873743,3365230.0,-1803,225,-16272,22,45,-22,1775067141.2611487
1775067141.873743,3365230.0,-1809,193,-16196,-7,-5,-10,1775067141.2711487
1775067141.873743,3365230.0,-1801,152,-16276,24,40,9,1775067141.281149
1775067141.873743,3365230.0,-1841,157,-16323,-5,-19,3,1775067141.291149
1775067141.873743,3365230.0,-1850,91,-16273,44,37,6,1775067141.301149
1775067141.873743,3365230.0,-1851,99,-16251,9,-25,-13,1775067141.3111491
1775067141.9000902,3365430.0,-1841,111,-16248,9,11,14,1775067141.321149
1775067141.9000902,3365430.0,-1815,173,-16244,1,-22,-6,1775067141.331149
1775067141.9000902,3365430.0,-1787,199,-16243,26,13,5,1775067141.3411493
1775067141.9000902,3365430.0,-1765,226,-16256,4,-17,-15,1775067141.3511493
1775067141.9000902,3365430.0,-1744,217,-16230,18,30,5,1775067141.3611493
1775067141.9000902,3365430.0,-1759,219,-16231,18,28,-7,1775067141.3711495
1775067141.9000902,3365430.0,-1739,195,-16282,15,6,-8,1775067141.3811495
1775067141.9000902,3365430.0,-1752,144,-16296,6,16,-6,1775067141.3911498
1775067141.9000902,3365430.0,-1750,146,-16258,-6,-2,7,1775067141.4011497
1775067141.9000902,3365430.0,-1789,150,-16295,-7,-3,-11,1775067141.4111497
1775067141.9000902,3365430.0,-1819,184,-16296,-2,10,-4,1775067141.42115
1775067141.9000902,3365430.0,-1834,155,-16256,-10,-5,4,1775067141.43115
1775067141.9000902,3365430.0,-1858,184,-16249,2,15,-9,1775067141.44115
1775067141.9000902,3365430.0,-1862,199,-16261,27,-3,-12,1775067141.4511502
1775067141.9000902,3365430.0,-1833,192,-16244,13,21,10,1775067141.4611502
1775067141.9000902,3365430.0,-1819,195,-16288,31,1,-5,1775067141.4711502
1775067141.9000902,3365430.0,-1817,166,-16289,27,14,-12,1775067141.4811504
1775067141.9000902,3365430.0,-1804,167,-16218,5,-1,-8,1775067141.4911504
1775067141.9000902,3365430.0,-1768,144,-16165,21,20,-4,1775067141.5011504
1775067141.9000902,3365430.0,-1810,177,-16334,-24,-39,1,1775067141.5111506
1775067141.900935,3365630.0,-1814,223,-16367,30,28,-5,1775067141.5211506
1775067141.900935,3365630.0,-1772,185,-16277,1,-15,-4,1775067141.5311506
1775067141.900935,3365630.0,-1829,221,-16159,38,60,-15,1775067141.5411508
1775067141.900935,3365630.0,-1806,170,-16190,8,-15,-1,1775067141.5511508
1775067141.900935,3365630.0,-1792,152,-16236,29,44,14,1775067141.561151
1775067141.900935,3365630.0,-1762,93,-16310,-3,11,19,1775067141.571151
1775067141.900935,3365630.0,-1780,140,-16315,33,26,10,1775067141.581151
1775067141.900935,3365630.0,-1764,155,-16292,-10,-25,-17,1775067141.5911512
1775067141.900935,3365630.0,-1812,193,-16230,30,20,-19,1775067141.6011512
1775067141.900935,3365630.0,-1841,220,-16217,-14,-26,19,1775067141.6111512
1775067141.900935,3365630.0,-1850,206,-16280,25,12,-19,1775067141.6211514
1775067141.900935,3365630.0,-1834,221,-16313,7,-1,15,1775067141.6311514
1775067141.900935,3365630.0,-1819,200,-16278,26,39,18,1775067141.6411514
1775067141.900935,3365630.0,-1813,192,-16203,24,-2,-12,1775067141.6511517
1775067141.900935,3365630.0,-1784,135,-16220,28,23,-19,1775067141.6611516
1775067141.900935,3365630.0,-1799,128,-16266,13,12,-7,1775067141.6711516
1775067141.900935,3365630.0,-1769,119,-16294,9,-5,-5,1775067141.6811519
1775067141.900935,3365630.0,-1768,172,-16301,18,8,-5,1775067141.6911519
1775067141.900935,3365630.0,-1748,200,-16251,12,6,9,1775067141.7011518
1775067141.900935,3365630.0,-1730,219,-16218,15,0,11,1775067141.711152
1775067143.173331,3365830.0,-1753,235,-16232,-14,-9,18,1775067141.721152
1775067143.173331,3365830.0,-1812,213,-16289,28,11,-24,1775067141.7311523
1775067143.173331,3365830.0,-1837,181,-16256,21,17,-16,1775067141.7411523
1775067143.173331,3365830.0,-1885,152,-16256,13,2,-8,1775067141.7511523
1775067143.173331,3365830.0,-1838,150,-16260,18,3,7,1775067141.7611525
1775067143.173331,3365830.0,-1843,115,-16267,18,10,-26,1775067141.7711525
1775067143.173331,3365830.0,-1821,133,-16283,7,-1,6,1775067141.7811525
1775067143.173331,3365830.0,-1837,157,-16278,12,21,-25,1775067141.7911527
1775067143.173331,3365830.0,-1815,174,-16241,-3,-7,1,1775067141.8011527
1775067143.173331,3365830.0,-1810,193,-16251,-35,-92,4,1775067141.8111527
1775067143.173331,3365830.0,-1760,211,-16302,33,53,17,1775067141.821153
1775067143.173331,3365830.0,-1740,223,-16315,14,4,-4,1775067141.831153
1775067143.173331,3365830.0,-1759,169,-16287,27,35,7,1775067141.841153
1775067143.173331,3365830.0,-1772,177,-16244,1,34,12,1775067141.8511531
1775067143.173331,3365830.0,-1769,135,-16211,-2,-9,-3,1775067141.8611531
1775067143.173331,3365830.0,-1833,151,-16163,30,-5,0,1775067141.8711534
1775067143.173331,3365830.0,-1813,156,-16270,-14,-6,-6,1775067141.8811533
1775067143.173331,3365830.0,-1813,180,-16295,28,7,-6,1775067141.8911533
1775067143.173331,3365830.0,-1822,223,-16259,15,-17,-20,1775067141.9011536
1775067143.173331,3365830.0,-1840,187,-16210,34,28,-18,1775067141.9111536
1775067143.17444,3366030.0,-1840,206,-16190,7,1,-3,1775067141.9211535
1775067143.17444,3366030.0,-1778,169,-16252,28,47,-1,1775067141.9311538
1775067143.17444,3366030.0,-1769,183,-16296,35,10,-16,1775067141.9411538
1775067143.17444,3366030.0,-1749,174,-16309,20,25,-7,1775067141.9511538
1775067143.17444,3366030.0,-1772,155,-16295,14,-7,5,1775067141.961154
1775067143.17444,3366030.0,-1745,178,-16213,15,-4,0,1775067141.971154
1775067143.17444,3366030.0,-1788,184,-16245,3,-5,-8,1775067141.981154
1775067143.17444,3366030.0,-1790,149,-16263,13,-14,-10,1775067141.9911542
1775067143.17444,3366030.0,-1705,110,-16295,-324,-518,86,1775067142.0011542
1775067143.17444,3366030.0,-1332,-1045,-16276,1351,851,7053,1775067142.0111542
1775067143.17444,3366030.0,-2036,920,-16220,-126,-1270,5861,1775067142.0211544
1775067143.17444,3366030.0,-2578,722,-16235,499,52,2837,1775067142.0311544
1775067143.17444,3366030.0,-1471,71,-16247,966,1292,1778,1775067142.0411546
1775067143.17444,3366030.0,-1723,147,-16291,6,-290,1185,1775067142.0511546
1775067143.17444,3366030.0,-1712,125,-16235,-114,-219,-36,1775067142.0611546
1775067143.17444,3366030.0,-2174,373,-16287,128,197,-6,1775067142.0711548
1775067143.17444,3366030.0,-1537,54,-16250,-3,-18,-56,1775067142.0811548
1775067143.17444,3366030.0,-1646,148,-16226,97,148,-9,1775067142.0911548
1775067143.17444,3366030.0,-1728,183,-16257,13,34,13,1775067142.101155
1775067143.17444,3366030.0,-1757,195,-16283,9,20,-13,1775067142.111155
1775067143.174974,3366230.0,-1778,195,-16275,24,19,13,1775067142.121155
1775067143.174974,3366230.0,-1811,172,-16285,21,-1,8,1775067142.1311553
1775067143.174974,3366230.0,-1793,160,-16242,0,14,-11,1775067142.1411552
1775067143.174974,3366230.0,-1803,153,-16237,13,8,-1,1775067142.1511552
1775067143.174974,3366230.0,-1831,184,-16245,-3,10,-5,1775067142.1611555
1775067143.174974,3366230.0,-1825,184,-16259,17,-6,-5,1775067142.1711555
1775067143.174974,3366230.0,-1844,169,-16286,7,29,-3,1775067142.1811554
1775067143.174974,3366230.0,-1823,178,-16275,7,-2,-8,1775067142.1911557
1775067143.174974,3366230.0,-1808,186,-16246,12,10,-2,1775067142.2011557
1775067143.174974,3366230.0,-1787,177,-16220,7,16,-6,1775067142.211156
1775067143.174974,3366230.0,-1790,180,-16257,5,5,-11,1775067142.221156
1775067143.174974,3366230.0,-1779,159,-16293,12,6,-9,1775067142.2311559
1775067143.174974,3366230.0,-1757,171,-16266,44,1,-9,1775067142.241156
1775067143.174974,3366230.0,-1779,189,-16243,15,22,-30,1775067142.251156
1775067143.174974,3366230.0,-1742,194,-16274,-5,20,-19,1775067142.261156
1775067143.174974,3366230.0,-1773,202,-16274,18,0,12,1775067142.2711563
1775067143.174974,3366230.0,-1785,204,-16282,19,6,6,1775067142.2811563
1775067143.174974,3366230.0,-1803,227,-16302,15,4,12,1775067142.2911563
1775067143.174974,3366230.0,-1839,171,-16280,14,8,15,1775067142.3011565
1775067143.174974,3366230.0,-1811,145,-16229,13,10,4,1775067142.3111565
1775067143.175621,3366430.0,-1837,166,-16273,10,-12,2,1775067142.3211565
1775067143.175621,3366430.0,-1827,170,-16265,4,15,-2,1775067142.3311567
1775067143.175621,3366430.0,-1803,165,-16230,2,7,-6,1775067142.3411567
1775067143.175621,3366430.0,-1802,162,-16281,21,19,-16,1775067142.351157
1775067143.175621,3366430.0,-1792,176,-16264,7,11,-16,1775067142.361157
1775067143.175621,3366430.0,-1775,163,-16221,3,-3,-3,1775067142.371157
1775067143.175621,3366430.0,-1763,206,-16274,-2,5,3,1775067142.3811572
1775067143.175621,3366430.0,-1773,203,-16247,0,-7,-9,1775067142.3911572
1775067143.175621,3366430.0,-1753,200,-16283,9,-24,-8,1775067142.4011571
1775067143.175621,3366430.0,-1753,188,-16224,7,5,7,1775067142.4111574
1775067143.175621,3366430.0,-1739,180,-16254,2,10,-24,1775067142.4211574
1775067143.175621,3366430.0,-1763,186,-16305,-3,4,-5,1775067142.4311574
1775067143.175621,3366430.0,-1771,187,-16271,10,-7,18,1775067142.4411576
1775067143.175621,3366430.0,-1771,172,-16321,12,16,-7,1775067142.4511576
1775067143.175621,3366430.0,-1810,141,-16213,14,-16,-16,1775067142.4611576
1775067143.175621,3366430.0,-1822,150,-16213,8,-3,-1,1775067142.4711578
1775067143.175621,3366430.0,-1856,129,-16288,22,13,-6,1775067142.4811578
1775067143.175621,3366430.0,-1853,158,-16279,20,4,1,1775067142.4911578
1775067143.175621,3366430.0,-1796,209,-16249,12,10,-19,1775067142.501158
1775067143.175621,3366430.0,-1805,222,-16241,7,10,-6,1775067142.511158
1775067143.178717,3366630.0,-1779,204,-16269,14,19,-3,1775067142.5211582
1775067143.178717,3366630.0,-1772,142,-16244,18,26,-3,1775067142.5311582
1775067143.178717,3366630.0,-1788,122,-16265,-1,20,6,1775067142.5411582
1775067143.178717,3366630.0,-1765,151,-16294,0,27,14,1775067142.5511584
1775067143.178717,3366630.0,-1778,165,-16255,9,0,-3,1775067142.5611584
1775067143.178717,3366630.0,-1792,206,-16225,10,3,-21,1775067142.5711584
1775067143.178717,3366630.0,-1824,209,-16234,19,6,6,1775067142.5811586
1775067143.178717,3366630.0,-1828,202,-16262,17,10,-4,1775067142.5911586
1775067143.178717,3366630.0,-1835,200,-16265,18,17,4,1775067142.6011586
1775067143.178717,3366630.0,-1817,188,-16250,18,8,17,1775067142.6111588
1775067143.178717,3366630.0,-1768,162,-16223,11,9,1,1775067142.6211588
1775067143.178717,3366630.0,-1774,141,-16272,37,18,24,1775067142.6311588
1775067143.178717,3366630.0,-1797,135,-16288,-2,13,8,1775067142.641159
1775067143.178717,3366630.0,-1785,140,-16288,9,11,-20,1775067142.651159
1775067143.178717,3366630.0,-1820,153,-16247,-6,19,-13,1775067142.661159
1775067143.178717,3366630.0,-1833,179,-16270,37,0,-7,1775067142.6711593
1775067143.178717,3366630.0,-1794,211,-16236,4,19,0,1775067142.6811593
1775067143.178717,3366630.0,-1780,224,-16255,16,6,-5,1775067142.6911595
1775067143.178717,3366630.0,-1764,196,-16264,15,11,-11,1775067142.7011595
1775067143.178717,3366630.0,-1824,177,-16262,2,30,-12,1775067142.7111595
1775067143.204744,3366830.0,-1814,142,-16239,19,14,-5,1775067142.7211597
1775067143.204744,3366830.0,-1821,132,-16264,6,-5,8,1775067142.7311597
1775067143.204744,3366830.0,-1789,140,-16274,9,5,9,1775067142.7411597
1775067143.204744,3366830.0,-1788,188,-16260,1,9,1,1775067142.75116
1775067143.204744,3366830.0,-1782,213,-16265,-2,2,-18,1775067142.76116
1775067143.204744,3366830.0,-1779,208,-16241,16,21,-14,1775067142.77116
1775067143.204744,3366830.0,-1790,188,-16221,19,23,5,1775067142.78116
1775067143.204744,3366830.0,-1802,157,-16289,12,10,-6,1775067142.79116
1775067143.204744,3366830.0,-1818,141,-16235,13,22,-11,1775067142.80116
1775067143.204744,3366830.0,-1797,114,-16234,-1,16,1,1775067142.8111603
1775067143.204744,3366830.0,-1793,161,-16260,15,6,-12,1775067142.8211603
1775067143.204744,3366830.0,-1817,187,-16265,8,9,0,1775067142.8311603
1775067143.204744,3366830.0,-1830,165,-16261,20,-11,-20,1775067142.8411605
1775067143.204744,3366830.0,-1829,212,-16280,-3,-6,4,1775067142.8511605
1775067143.204744,3366830.0,-1832,219,-16182,9,7,-2,1775067142.8611608
1775067143.204744,3366830.0,-1739,175,-16120,-13,5,-14,1775067142.8711607
1775067143.204744,3366830.0,-1721,213,-16137,-5,-3,-4,1775067142.8811607
1775067143.204744,3366830.0,-1760,216,-16661,21,8,13,1775067142.891161
1775067143.204744,3366830.0,-1764,154,-16600,25,-1,-14,1775067142.901161
1775067143.204744,3366830.0,-1769,103,-15908,32,3,-7,1775067142.911161
1775067143.234539,3367030.0,-1836,81,-15958,22,11,2,1775067142.9211612
1775067143.234539,3367030.0,-1861,128,-16172,-17,11,5,1775067142.9311612
1775067143.234539,3367030.0,-1887,210,-16509,-5,3,-3,1775067142.9411612
1775067143.234539,3367030.0,-1858,229,-16526,14,1,-14,1775067142.9511614
1775067143.234539,3367030.0,-1831,240,-16099,35,-9,-5,1775067142.9611614
1775067143.234539,3367030.0,-1801,226,-15981,19,6,-3,1775067142.9711614
1775067143.234539,3367030.0,-1785,165,-16191,19,14,-10,1775067142.9811616
1775067143.234539,3367030.0,-1769,127,-16441,11,8,1,1775067142.9911616
1775067143.234539,3367030.0,-1712,140,-16470,3,31,19,1775067143.0011618
1775067143.234539,3367030.0,-1658,132,-16248,12,-2,0,1775067143.0111618
1775067143.234539,3367030.0,-1685,170,-16101,5,7,-24,1775067143.0211618
1775067143.234539,3367030.0,-1742,161,-16160,7,-3,-18,1775067143.031162
1775067143.234539,3367030.0,-1812,219,-16391,14,4,-2,1775067143.041162
1775067143.234539,3367030.0,-1876,215,-16383,9,23,-3,1775067143.051162
1775067143.234539,3367030.0,-1867,223,-16233,3,10,-5,1775067143.0611622
1775067143.234539,3367030.0,-1849,214,-16068,18,5,14,1775067143.0711622
1775067143.234539,3367030.0,-1838,162,-16166,21,-14,-4,1775067143.0811622
1775067143.234539,3367030.0,-1875,115,-16361,16,4,-12,1775067143.0911624
1775067143.234539,3367030.0,-1866,94,-16343,22,-16,11,1775067143.1011624
1775067143.234539,3367030.0,-1852,111,-16283,16,-3,-13,1775067143.1111624
1775067144.568012,3367230.0,-1787,135,-16200,23,-2,-1,1775067143.1211627
1775067144.568012,3367230.0,-1734,202,-16197,28,-12,-9,1775067143.1311626
1775067144.568012,3367230.0,-1743,240,-16330,8,23,-22,1775067143.1411626
1775067144.568012,3367230.0,-1745,241,-16358,21,-3,-11,1775067143.1511629
1775067144.568012,3367230.0,-1743,217,-16247,32,0,18,1775067143.1611629
1775067144.568012,3367230.0,-1754,175,-16204,20,-4,-10,1775067143.171163
1775067144.568012,3367230.0,-1797,168,-16218,11,-10,7,1775067143.181163
1775067144.568012,3367230.0,-1773,150,-16240,26,9,6,1775067143.191163
1775067144.568012,3367230.0,-1802,133,-16295,10,6,-9,1775067143.2011633
1775067144.568012,3367230.0,-1820,147,-16331,3,9,-6,1775067143.2111633
1775067144.568012,3367230.0,-1841,146,-16225,22,7,-12,1775067143.2211633
1775067144.568012,3367230.0,-1833,174,-16257,8,7,-13,1775067143.2311635
1775067144.568012,3367230.0,-1854,194,-16258,11,9,-13,1775067143.2411635
1775067144.568012,3367230.0,-1839,189,-16288,7,20,-1,1775067143.2511635
1775067144.568012,3367230.0,-1794,208,-16283,-4,-2,10,1775067143.2611637
1775067144.568012,3367230.0,-1793,171,-16289,11,14,-3,1775067143.2711637
1775067144.568012,3367230.0,-1787,192,-16224,8,1,13,1775067143.2811637
1775067144.568012,3367230.0,-1765,149,-16215,16,4,-15,1775067143.291164
1775067144.568012,3367230.0,-1748,157,-16299,8,-2,-1,1775067143.301164
1775067144.568012,3367230.0,-1759,173,-16299,13,16,-19,1775067143.311164
1775067144.569206,3367430.0,-1766,154,-16256,9,-6,0,1775067143.3211641
1775067144.569206,3367430.0,-1786,181,-16244,32,5,9,1775067143.3311641
1775067144.569206,3367430.0,-1818,189,-16247,11,5,-12,1775067143.3411644
1775067144.569206,3367430.0,-1799,189,-16263,11,-14,10,1775067143.3511643
1775067144.569206,3367430.0,-1822,178,-16275,21,6,21,1775067143.3611643
