Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z,Effective Timestamp
1774978149.268192,197910.0,-2025,434,-16239,13,8,-6,1774978147.8141165
1774978149.268192,197910.0,-2018,416,-16199,22,-13,-16,1774978147.8241167
1774978149.268192,197910.0,-2009,445,-16258,-8,1,-5,1774978147.8341167
1774978149.268192,197910.0,-2009,437,-16237,7,-4,-10,1774978147.844117
1774978149.268192,197910.0,-2026,446,-16230,7,5,-4,1774978147.854117
1774978149.268192,197910.0,-2004,461,-16266,-16,-9,-12,1774978147.8641171
1774978149.268192,197910.0,-1995,475,-16223,8,-25,-31,1774978147.8741174
1774978149.268192,197910.0,-2011,460,-16205,4,-15,-4,1774978147.8841174
1774978149.268192,197910.0,-1987,494,-16298,6,-1,24,1774978147.8941176
1774978149.268192,197910.0,-2002,496,-16237,14,1,-1,1774978147.9041176
1774978149.268192,197910.0,-1987,507,-16208,0,7,0,1774978147.9141178
1774978149.268192,197910.0,-1971,493,-16256,0,1,-7,1774978147.924118
1774978149.268192,197910.0,-2011,506,-16246,3,-4,-5,1774978147.934118
1774978149.268192,197910.0,-1988,515,-16228,3,-3,5,1774978147.9441183
1774978149.268192,197910.0,-1991,491,-16243,2,9,-9,1774978147.9541183
1774978149.268192,197910.0,-2019,481,-16251,3,-3,-11,1774978147.9641185
1774978149.268192,197910.0,-2004,481,-16202,-3,-11,-29,1774978147.9741187
1774978149.268192,197910.0,-2031,482,-16302,7,-8,-16,1774978147.9841187
1774978149.268192,197910.0,-2060,450,-16254,20,21,-1,1774978147.994119
1774978149.269421,198110.0,-2040,474,-16220,23,-2,-5,1774978148.004119
1774978149.269421,198110.0,-2034,464,-16284,10,17,0,1774978148.0141191
1774978149.269421,198110.0,-2068,457,-16197,11,20,-6,1774978148.0241194
1774978149.269421,198110.0,-2064,432,-16217,3,2,11,1774978148.0341194
1774978149.269421,198110.0,-2052,426,-16306,-4,14,-5,1774978148.0441196
1774978149.269421,198110.0,-2043,451,-16180,13,-2,9,1774978148.0541196
1774978149.269421,198110.0,-2031,459,-16242,-3,-18,14,1774978148.0641198
1774978149.269421,198110.0,-2001,471,-16301,5,2,5,1774978148.07412
1774978149.269421,198110.0,-2015,460,-16223,5,9,15,1774978148.08412
1774978149.269421,198110.0,-1974,453,-16250,1,-14,1,1774978148.0941203
1774978149.269421,198110.0,-1963,479,-16283,-14,-21,-6,1774978148.1041203
1774978149.269421,198110.0,-1972,467,-16243,12,-6,-18,1774978148.1141205
1774978149.269421,198110.0,-1992,469,-16193,-10,-7,-17,1774978148.1241207
1774978149.269421,198110.0,-1945,490,-16271,-9,-7,-14,1774978148.1341207
1774978149.269421,198110.0,-1971,480,-16237,5,-11,-27,1774978148.144121
1774978149.269421,198110.0,-2027,502,-16198,3,4,-17,1774978148.154121
1774978149.269421,198110.0,-2017,484,-16282,-4,14,-1,1774978148.1641212
1774978149.269421,198110.0,-2018,473,-16206,-5,-5,-19,1774978148.1741214
1774978149.269421,198110.0,-2019,480,-16181,16,-4,5,1774978148.1841214
1774978149.269421,198110.0,-2017,484,-16274,8,-29,9,1774978148.1941216
1774978149.270539,198310.0,-2015,474,-16220,20,19,13,1774978148.2041216
1774978149.270539,198310.0,-2027,484,-16193,7,0,3,1774978148.2141218
1774978149.270539,198310.0,-2021,495,-16244,12,9,14,1774978148.224122
1774978149.270539,198310.0,-2009,441,-16230,15,0,-4,1774978148.234122
