Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1774980578.565899,3390.0,-2752,-197,-16336,32514,-32768,-32768
1774980578.565899,3390.0,-2731,-150,-16180,32514,-32768,-32768
1774980578.565899,3390.0,-2668,-56,-16013,-10,199,76
1774980578.565899,3390.0,-2681,-27,-16060,54,110,75
1774980578.565899,3390.0,-2755,-86,-16184,39,120,66
1774980578.565899,3390.0,-2711,-15,-16127,-22,159,73
1774980578.565899,3390.0,-2673,7,-16024,-3,148,62
1774980578.565899,3390.0,-2654,-12,-16040,83,92,47
1774980578.565899,3390.0,-2679,-41,-16127,102,100,61
1774980578.565899,3390.0,-2681,-54,-16155,117,102,47
1774980578.565899,3390.0,-2634,-48,-16114,107,109,60
1774980578.565899,3390.0,-2657,-75,-16101,109,93,63
1774980578.565899,3390.0,-2646,-113,-16134,114,98,61
1774980578.565899,3390.0,-2641,-138,-16152,83,118,54
1774980578.565899,3390.0,-2648,-125,-16142,40,128,62
1774980578.565899,3390.0,-2642,-119,-16113,31,124,69
1774980578.565899,3390.0,-2650,-109,-16134,22,111,79
1774980578.565899,3390.0,-2673,-93,-16129,38,125,82
1774980578.565899,3390.0,-2683,-87,-16096,21,107,64
1774980578.565899,3390.0,-2698,-83,-16098,38,126,72
1774980578.57882,3590.0,-2688,-71,-16123,81,98,56
1774980578.57882,3590.0,-2729,-61,-16116,101,110,63
1774980578.57882,3590.0,-2717,-47,-16084,88,102,58
1774980578.57882,3590.0,-2745,-69,-16099,119,86,70
1774980578.57882,3590.0,-2729,-45,-16116,106,98,64
1774980578.57882,3590.0,-2723,-83,-16153,96,95,64
1774980578.57882,3590.0,-2742,-68,-16126,61,114,69
1774980578.57882,3590.0,-2685,-61,-16114,38,107,72
1774980578.57882,3590.0,-2686,-67,-16118,48,134,64
1774980578.57882,3590.0,-2687,-72,-16144,58,119,58
1774980578.57882,3590.0,-2656,-77,-16124,41,125,62
1774980578.57882,3590.0,-2616,-74,-16110,37,148,57
1774980578.57882,3590.0,-2604,-100,-16127,35,103,52
1774980578.57882,3590.0,-2570,-93,-16076,90,117,55
1774980578.57882,3590.0,-2625,-93,-16126,81,100,53
1774980578.57882,3590.0,-2632,-95,-16156,106,110,29
1774980578.57882,3590.0,-2632,-97,-16102,72,107,59
1774980578.57882,3590.0,-2659,-108,-16125,74,121,47
1774980578.57882,3590.0,-2673,-96,-16133,86,102,69
1774980578.57882,3590.0,-2715,-110,-16128,52,152,70
1774980578.580265,3790.0,-2725,-100,-16134,42,126,62
1774980578.580265,3790.0,-2716,-129,-16125,48,142,81
1774980578.580265,3790.0,-2717,-86,-16103,24,91,74
1774980578.580265,3790.0,-2745,-59,-16105,29,123,86
1774980578.580265,3790.0,-2701,-52,-16116,47,132,70
1774980578.580265,3790.0,-2724,-53,-16120,53,112,66
1774980578.580265,3790.0,-2705,-48,-16092,75,106,46
1774980578.580265,3790.0,-2712,-60,-16135,83,91,66
1774980578.580265,3790.0,-2693,-57,-16117,98,105,63
1774980578.580265,3790.0,-2665,-63,-16112,75,101,61
1774980578.580265,3790.0,-2668,-74,-16104,83,117,58
1774980578.580265,3790.0,-2642,-87,-16157,93,132,61
1774980578.580265,3790.0,-2620,-83,-16154,56,101,64
1774980578.580265,3790.0,-2637,-90,-16148,52,113,42
1774980578.580265,3790.0,-2625,-96,-16126,74,103,60
1774980578.580265,3790.0,-2627,-98,-16128,56,112,66
1774980578.580265,3790.0,-2598,-95,-16095,59,98,77
1774980578.580265,3790.0,-2619,-96,-16124,54,117,81
1774980578.580265,3790.0,-2661,-78,-16140,91,110,73
1774980578.580265,3790.0,-2690,-101,-16142,79,108,39
1774980578.580787,3990.0,-2669,-89,-16129,76,94,55
1774980578.580787,3990.0,-2677,-68,-16086,71,107,68
1774980578.580787,3990.0,-2695,-78,-16089,72,85,53
1774980578.580787,3990.0,-2711,-92,-16118,75,89,68
1774980578.580787,3990.0,-2764,-35,-16106,54,115,67
1774980578.580787,3990.0,-2696,-61,-16116,66,102,61
1774980578.580787,3990.0,-2722,-50,-16107,37,121,61
1774980578.580787,3990.0,-2710,-62,-16124,70,122,42
1774980578.580787,3990.0,-2722,-34,-16137,55,130,53
1774980578.580787,3990.0,-2705,-40,-16112,59,139,51
