Time Stamp,First Sample Time,Accel-x,Accel-y,Accel-z,Gyro-x,Gyro-y,Gyro-z
1775067141.688093,3253830.0,-1787,149,-16243,18,-5,-16
1775067141.688093,3253830.0,-1803,155,-16242,17,8,-11
1775067141.688093,3253830.0,-1816,179,-16250,-9,2,-9
1775067141.688093,3253830.0,-1811,185,-16264,10,3,-19
1775067141.688093,3253830.0,-1831,196,-16246,3,-2,-4
1775067141.688093,3253830.0,-1804,164,-16271,12,24,-5
1775067141.688093,3253830.0,-1806,160,-16254,22,16,-7
1775067141.688093,3253830.0,-1820,166,-16202,8,-21,0
1775067141.688093,3253830.0,-1808,154,-16254,-5,3,-10
1775067141.688093,3253830.0,-1813,168,-16263,20,1,-13
1775067141.688093,3253830.0,-1809,169,-16243,20,35,-20
1775067141.688093,3253830.0,-1816,192,-16247,12,9,-8
1775067141.688093,3253830.0,-1807,187,-16231,26,2,2
1775067141.688093,3253830.0,-1818,171,-16247,21,2,-18
1775067141.688093,3253830.0,-1805,193,-16280,9,12,16
1775067141.688093,3253830.0,-1799,147,-16262,10,10,-18
1775067141.688093,3253830.0,-1804,149,-16241,14,5,-9
1775067141.688093,3253830.0,-1773,169,-16263,-5,4,-11
1775067141.688093,3253830.0,-1805,182,-16231,13,16,-3
1775067141.688093,3253830.0,-1809,147,-16264,18,4,-19
1775067141.6889431,3254030.0,-1800,181,-16255,1,-3,-9
1775067141.6889431,3254030.0,-1794,191,-16282,10,2,-8
1775067141.6889431,3254030.0,-1823,178,-16247,12,7,-2
1775067141.6889431,3254030.0,-1768,173,-16247,8,4,3
1775067141.6889431,3254030.0,-1784,196,-16245,31,12,-16
1775067141.6889431,3254030.0,-1789,159,-16252,7,7,6
1775067141.6889431,3254030.0,-1783,184,-16266,6,-3,27
1775067141.6889431,3254030.0,-1795,158,-16296,23,4,-4
1775067141.6889431,3254030.0,-1780,163,-16251,4,-12,0
1775067141.6889431,3254030.0,-1784,180,-16217,9,-5,6
1775067141.6889431,3254030.0,-1810,186,-16256,24,10,-7
1775067141.6889431,3254030.0,-1807,183,-16245,16,-12,-3
1775067141.6889431,3254030.0,-1816,168,-16275,12,-8,-11
1775067141.6889431,3254030.0,-1800,187,-16253,35,20,2
1775067141.6889431,3254030.0,-1830,162,-16228,8,13,0
1775067141.6889431,3254030.0,-1796,152,-16239,17,22,-8
1775067141.6889431,3254030.0,-1796,150,-16261,20,9,-13
1775067141.6889431,3254030.0,-1799,148,-16261,11,0,-12
1775067141.6889431,3254030.0,-1824,189,-16260,21,-3,8
1775067141.6889431,3254030.0,-1805,179,-16249,25,12,2
1775067141.6892831,3254230.0,-1807,172,-16243,27,-5,-19
1775067141.6892831,3254230.0,-1809,176,-16258,13,20,-6
1775067141.6892831,3254230.0,-1810,182,-16239,20,-7,-20
1775067141.6892831,3254230.0,-1808,175,-16291,6,-1,-5
1775067141.6892831,3254230.0,-1816,136,-16229,15,12,6
1775067141.6892831,3254230.0,-1818,141,-16228,22,9,-2
1775067141.6892831,3254230.0,-1805,138,-16249,5,8,-2
1775067141.6892831,3254230.0,-1780,164,-16234,-2,24,9
1775067141.6892831,3254230.0,-1814,163,-16266,-10,14,8
1775067141.6892831,3254230.0,-1822,172,-16268,7,-5,-9
1775067141.6892831,3254230.0,-1801,160,-16224,12,-6,-5
1775067141.6892831,3254230.0,-1818,203,-16227,22,15,-8
1775067141.6892831,3254230.0,-1817,182,-16244,6,16,-7
1775067141.6892831,3254230.0,-1822,154,-16278,6,9,-11
